"RESPNUM","CCGID","TERM","STRATA","ATYPE","AIRLINE","DEST","GATENUM","INTDATE","Q1","Q2_1","Q2_2","Q2_3","Q2_4","Q2_5","Q2_6","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3A","Q4A","Q4B","Q4C","Q5","Q5AVG","SAQ","Q6A","Q6B","Q6C","Q6D","Q6E","Q6F","Q6G","Q6H","Q6I","Q6J","Q6K","Q6L","Q6M","Q6N","Q7COM1","Q7COM2","Q7COM3","Q7A1","Q7A2","Q7A3","Q8A","Q8B","Q8C","Q8D","Q8E","Q8F","Q8COM1","Q8COM2","Q8COM3","Q9","Q9APOS1","Q9APOS2","Q9APOS3","Q9ANEG1","Q9ANEG2","Q9ANEG3","Q9ANTR1","Q9ANTR2","Q9ANTR3","Q10","Q11","Q11A1","Q11A2","Q11A3","Q12","Q13A","Q13B","Q13_COM","Q13COM1","Q13COM2","Q13COM3","Q14","Q14A","Q14A1","Q14A2","Q14A3","Q15","SFFLAG","COUNTRY","Q17","AGE","Q18","Q19","INC","MAIL","LANG","DESTMARK","DESTINATION","DESTGEO","WEIGHT","Location 1"
"351","622","1","2","1","12","2","45","6","2","2","8",,,,,"2","11",,,,,"9","1","1","2","4","9.5","2","5","4","4","5","6","5","5","5","4","4","6","6","6","5","1",,,,,,"5","6","6","6","5","4",,,,"3",,,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"1","1","62","4","39.5","2","2","75,000","1","1","4","NEW YORK-JFK","2","1.013018",
"352","628","1","2","1","12","2","45","6","2","1","8",,,,,"7","11",,,,,"9","2","2","1","1","1","2","4","3","3","2","3","3","6","6","6","6","6","6","6","3",,,,,,,"3","6","6","6","6","2",,,,"4",,,,,,,,,,"2",,,,,"5","2","3",,,,,"2",,,,,"2","4","62","5","49.5","1","4","175,000","1","1","4","NEW YORK-JFK","2","1.013018",
"353","629","1","2","1","12","2","45","6","2","1","8",,,,,"4","11",,,,,"9","2","2","1","1","1","2","4","4","3","3","4","5","6","6","2","6","6","6","2","4","34",,,,,,"4","6","6","6","4","3",,,,"4",,,,,,,,,,"2",,,,,"5","5","2",,,,,"0",,,,,"0","4","0","0",,"0","0",,"1","1","4","NEW YORK-JFK","2","1.013018",
"354","630","1","2","1","12","2","45","6","2","2","8",,,,,"5","11",,,,,"9","2","2","1","1","1","2","5","4","3","3","4","3","4","4","4","5","5","4","3","4",,,,,,,"4","6","5","6","4","4",,,,"4",,,,,,,,,,"2",,,,,"1","4","5",,,,,"2",,,,,"1","10","62","4","39.5","2","2","75,000","1","1","4","NEW YORK-JFK","2","1.013018",
"355","631","1","2","1","12","2","45","6","2","1","8",,,,,"9","11",,,,,"9","0","1","0","2","2","2","0","3","3","3","3","3","3","3","3","3","4","3","4","3",,,,,,,"4","4","4","4","4","4",,,,"4","1",,,,,,,,,"2",,,,,"5","4","4",,,,,"2",,,,,"2","4","62","5","49.5","1","4","175,000","1","1","4","NEW YORK-JFK","2","1.013018",
"356","632","1","2","1","12","2","45","6","2","1","8",,,,,"4","11",,,,,"9","3","3","3","4","9.5","2","2","2","2","3","3","2","3","2","3","6","2","6","2","2",,,,,,,"2","2","2","2","2","2",,,,"3",,,,,,,,,,"2",,,,,"5","3","2",,,,,"3",,,,,"2","4","62","4","39.5","1","4","175,000","1","1","4","NEW YORK-JFK","2","1.013018",
"357","633","1","2","1","12","2","45","6","2","2","8",,,,,"5","11",,,,,"9","2","2","2","3","4.5","2","6","6","4","5","5","5","6","4","4","6","5","6","6","5",,,,,,,"5","6","4","6","6","4",,,,"5","6",,,,,,,,,"2",,,,,"2","5","5",,,,,"2",,,,,"1","11","62","6","59.5","2","1","25,000","1","1","4","NEW YORK-JFK","2","1.013018",
"358","525","1","1","1","11","2","32","6","2","2","8",,,,,"1","11",,,,,"4","1","1","2","2","2","1","6","4","4","4","4","4","6","4","4","5","6","4","6","4",,,,,,,"4","6","6","6","4","4",,,,"4",,,,,,,,,,"2",,,,,"2","4","3",,,,,"2",,,,,"1","11","62","4","39.5","2","2","75,000","1","1","2","CLEVELAND","3","1.013018",
"359","526","1","1","1","11","2","32","6","2","2","8",,,,,"7","11",,,,,"9","1","1","2","2","2","1","4","6","6","5","6","5","3","6","5","6","6","6","6","4","90",,,,,,"5","6","6","6","6","4",,,,"5",,,,,,,,,,"1","4","4","7",,"9","5","2",,"1",,,"2",,,,,"1","15","62","5","49.5","2","3","125,000","1","1","2","CLEVELAND","3","1.013018",
"360","527","1","1","1","11","2","32","6","2","2","8",,,,,"6","11",,,,,"9","1","1","1","3","4.5","1","4","4","6","5","4","4","3","4","5","3","4","4","4","4","31",,,,,,"5","6","5","4","5","4",,,,"4","5",,,,,,,,,"2",,,,,"7","5","4",,,,,"2",,,,,"1","13","62","6","59.5","1","2","75,000","1","1","2","CLEVELAND","3","1.013018",
"361","528","1","1","1","11","2","32","6","2","1","8",,,,,"7","11",,,,,"9","2","1","2","3","4.5","1","3","2","2","4","5","5","4","4","4","6","5","6","4","4","21",,,,,,"3","6","4","4","4","4",,,,"4",,,,,,,,,,"2",,,,,"5","4","4",,,,,"0",,,,,"2","4","62","4","39.5","1","4","175,000","1","1","2","CLEVELAND","3","1.013018",
"362","529","1","1","1","11","2","32","6","2","1","8",,,,,"6","11",,,,,"9","2","2","1","1","1","2","6","2","6","0","6","4","6","6","3","6","6","6","6","3",,,,,,,"3","6","6","6","3","6",,,,"3",,,,,,,,,,"2",,,,,"5","4","3",,,,,"2",,,,,"2","4","62","5","49.5","1","2","75,000","1","1","2","CLEVELAND","3","1.013018",
"363","530","1","1","1","11","2","32","6","2","3","8",,,,,"2","11",,,,,"9","2","1","2","3","4.5","2","4","4","4","4","4","4","4","4","5","6","4","6","6","4",,,,,,,"0","0","0","0","0","0",,,,"3",,,,,,,,,,"1","3",,,,"12","0","0",,,,,"0",,,,,"0","5","0","0",,"0","0",,"1","1","2","CLEVELAND","3","1.013018",
"364","531","1","1","1","11","2","32","6","2","2","8",,,,,"1","11",,,,,"4","1","1","2","2","2","2","6","4","3","4","3","3","3","3","3","3","6","6","6","4",,,,,,,"4","6","6","6","4","4",,,,"3",,,,,,,,,,"1","3",,,,"2","4","3",,,,,"2",,,,,"1","11","62","4","39.5","1","2","75,000","1","1","2","CLEVELAND","3","1.013018",
"365","532","1","1","1","11","2","32","6","2","8",,,,,,"4","11",,,,,"9","1","1","1","0","0","2","5","3","4","4","3","4","6","6","4","6","3","6","2","3","34",,,,,,"3","6","4","3","6","4",,,,"3",,,,,,,"10",,,"2",,,,,"5","5","2",,"1",,,"2",,,,,"2","4","62","6","59.5","2","4","175,000","1","1","2","CLEVELAND","3","1.013018",
"366","533","1","1","1","11","2","32","6","2","4","8",,,,,"3","11",,,,,"9","2","1","2","2","2","2","4","6","6","5","5","4","3","3","2","6","4","6","6","4",,,,,,,"5","6","4","6","6","4",,,,"3",,,,,,,,,,"1","4","5",,,"5","5","2",,"1",,,"3",,,,,"1","1","62","3","29.5","1","2","75,000","1","1","2","CLEVELAND","3","1.013018",
"367","590","1","1","1","12","2","44","6","2","2","8",,,,,"2","11",,,,,"9","1","2","2","1","1","1","6","6","6","4","6","2","6","6","4","6","6","6","6","4","40","55",,,,,"5","6","6","6","6","4",,,,"5",,,,,,,,,,"2",,,,,"7","5","5",,"2",,,"2",,,,,"1","13","62","7","75","1","2","75,000","1","1","2","SALT LAKE CI","1","1.013018",
"368","591","1","1","1","12","2","44","6","2","1","8",,,,,"9","11",,,,,"9","1","2","1","4","9.5","1","4","4","5","5","5","3","6","6","2","6","5","6","5","4","51","34",,,,,"4","6","5","5","5","4",,,,"5",,,,,,,,,,"2",,,,,"6","5","5",,,,,"2",,,,,"2","4","62","7","75","1","3","125,000","1","1","2","SALT LAKE CI","1","1.013018",
"369","592","1","1","1","12","2","44","6","2","2","8",,,,,"2","11",,,,,"9","2","2","2","1","1","1","5","6","6","4","6","2","6","6","5","6","6","6","6","4","55",,,,,,"5","6","6","6","6","6",,,,"5",,,,,,,,,,"2",,,,,"6","5","3",,,,,"2",,,,,"1","13","62","3","29.5","2","4","175,000","1","1","2","SALT LAKE CI","1","1.013018",
"370","593","1","1","1","12","2","44","6","2","1","8",,,,,"5","11",,,,,"9","0","0","0","3","4.5","1","4","6","3","1","4","4","6","6","4","6","5","6","6","4","56",,,,,,"4","6","4","6","6","4",,,,"5",,,,,,,,,,"2",,,,,"5","2","5",,"2",,,"2",,,,,"2","4","62","5","49.5","1","1","25,000","1","1","2","SALT LAKE CI","1","1.013018",
"371","594","1","1","1","12","2","44","6","2","2","8",,,,,"5","11",,,,,"9","1","1","1","1","1","2","4","3","4","4","4","3","3","3","6","6","5","6","6","4",,,,,,,"4","4","4","4","4","4",,,,"4",,,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"2","4","60","3","29.5","1","2","75,000","1","1","2","SALT LAKE CI","1","1.013018",
"372","595","1","1","1","12","2","44","6","2","3","8",,,,,"2","11",,,,,"9","1","1","0","3","4.5","2","0","5","5","5","5","5","5","5","5","0","0","0","0","0",,,,,,,"5","0","0","0","5","5",,,,"5",,,,,,,,,,"2",,,,,"7","5","5",,,,,"2",,,,,"2","4","62","7","75","2","1","25,000","1","1","2","SALT LAKE CI","1","1.013018",
"373","596","1","1","1","12","2","44","6","2","1","8",,,,,"4","11",,,,,"9","2","2","1","3","4.5","2","2","4","3","3","3","1","3","3","4","6","4","6","4","3","55",,,,,,"4","6","4","4","4","3",,,,"4",,,,,,,,,,"2",,,,,"5","4","3",,,,,"1",,,,,"2","4","62","5","49.5","1","4","175,000","1","1","2","SALT LAKE CI","1","1.013018",
"374","597","1","1","1","12","2","44","6","2","3","8",,,,,"2","11",,,,,"9","1","1","2","2","2","2","4","4","4","3","4","3","6","6","4","4","4","6","6","5",,,,,,,"3","4","4","6","4","3",,,,"4","1","2",,,,,,,,"2",,,,,"5","5","4",,,,,"2",,,,,"2","4","62","3","29.5","1","2","75,000","1","1","2","SALT LAKE CI","1","1.013018",
"375","598","1","1","1","12","2","44","6","2","2","8",,,,,"2","11",,,,,"9","2","2","2","3","4.5","2","4","4","3","3","3","3","6","6","3","3","6","3","2","3",,,,,,,"4","3","6","3","4","3",,,,"5","5",,,,,,,,,"2",,,,,"7","5","4",,,,,"2",,,,,"1","13","62","4","39.5","1","3","125,000","1","1","2","SALT LAKE CI","1","1.013018",
"376","599","1","1","1","12","2","44","6","2","1","8",,,,,"4","11",,,,,"9","1","2","1","1","1","2","3","5","2","3","6","3","6","6","6","6","6","6","6","3","7",,,,,,"3","6","6","6","4","6",,,,"3",,,,,,,"20",,,"2",,,,,"5","6","3",,,,,"2",,,,,"2","4","62","5","49.5","1","4","175,000","1","1","2","SALT LAKE CI","1","1.013018",
"377","600","1","1","1","12","2","44","6","1","3","8",,,,,"3","11",,,,,"9","1","0","0","2","2","2","3","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,"3","0","0","0","0","0",,,,"3",,,,,,,,,,"2",,,,,"11","0","0",,,,,"2",,,,,"3","5","0","6","59.5","1","2","75,000","1","1","2","SALT LAKE CI","1","1.013018",
"378","601","1","1","1","12","2","44","6","2","1","8",,,,,"9","11",,,,,"9","1","2","1","2","2","2","4","3","3","4","3","3","6","6","4","6","4","6","4","4","126",,,,,,"5","6","5","5","5","5",,,,"4","6",,,,,,,,,"2",,,,,"5","5","1",,,,,"1",,"4",,,"2","4","62","4","39.5","2","0",,"1","1","2","SALT LAKE CI","1","1.013018",
"379","602","1","1","1","12","2","44","6","2","2","8",,,,,"1","11",,,,,"3","1","1","1","3","4.5","2","5","4","4","4","5","5","6","6","5","5","5","5","6","5",,,,,,,"5","6","5","6","5","5",,,,"5",,,,,,,,,,"2",,,,,"9","5","0",,,,,"2",,,,,"1","15","62","6","59.5","2","3","125,000","1","1","2","SALT LAKE CI","1","1.013018",
"380","603","1","1","1","12","2","44","6","2","2","8",,,,,"6","11",,,,,"9","1","1","1","1","1","2","3","3","4","4","4","3","6","6","3","2","6","3","6","3",,,,,,,"3","6","6","4","4","4",,,,"3",,,,,,,,,,"2",,,,,"3","4","3",,,,,"2",,,,,"1","14","62","7","75","2","2","75,000","1","1","2","SALT LAKE CI","1","1.013018",
"381","604","1","1","1","12","2","44","6","2","2","8",,,,,"6","11",,,,,"9","1","0","0","1","1","2","5","4","3","4","5","5","6","6","6","6","6","6","6","5",,,,,,,"5","6","5","6","5","5",,,,"4",,,,,,,,,,"2",,,,,"5","5","5",,,,,"2",,,,,"2","4","28","4","39.5","1","1","25,000","1","1","2","SALT LAKE CI","1","1.013018",
"382","605","1","1","1","12","2","44","6","2","1","8",,,,,"8","11",,,,,"9","1","1","1","2","2","2","1","3","3","3","3","3","3","3","3","6","6","6","6","2","30",,,,,,"1","6","6","6","3","2",,,,"5",,,,,,,,,,"1","0",,,,"5","5","5",,,,,"2",,,,,"2","4","62","4","39.5","1","3","125,000","1","1","2","SALT LAKE CI","1","1.013018",
